楼栋	房号	建筑面积	套内面积	公摊面积	价格	总价
5栋	2303	142.23	107.6	34.63	52678.62	7492480.123
5栋	2201	139.47	105.5	33.97	50528.92	7047268.472
5栋	2205	118.91	89.95	28.96	49708.01	5910779.469
5栋	2101	139.47	105.5	33.97	50448.92	7036110.872
5栋	2102	88.65	67.06	21.59	50518.43	4478458.82
5栋	2103	88.65	67.06	21.59	50168.62	4447448.163
5栋	2105	118.91	89.95	28.96	49628.01	5901266.669
5栋	2001	139.47	105.5	33.97	50368.92	7024953.272
5栋	2002	88.65	67.06	21.59	50438.43	4471366.82
5栋	2003	88.65	67.06	21.59	50088.62	4440356.163
5栋	2005	118.91	89.95	28.96	49548.01	5891753.869
5栋	1901	139.47	105.5	33.97	50288.92	7013795.672
5栋	1902	88.65	67.06	21.59	50358.43	4464274.82
5栋	1903	88.65	67.06	21.59	50008.62	4433264.163
5栋	1905	118.91	89.95	28.96	49468.01	5882241.069
5栋	1801	139.47	105.5	33.97	50208.92	7002638.072
5栋	1802	88.65	67.06	21.59	50278.43	4457182.82
5栋	1803	88.65	67.06	21.59	49928.62	4426172.163
5栋	1805	118.91	89.95	28.96	49388.01	5872728.269
5栋	1701	139.47	105.5	33.97	50128.92	6991480.472
5栋	1702	88.65	67.06	21.59	50198.43	4450090.82
5栋	1703	88.65	67.06	21.59	49848.62	4419080.163
5栋	1705	118.91	89.95	28.96	49308.01	5863215.469
5栋	1601	139.47	105.5	33.97	50048.92	6980322.872
5栋	1602	88.65	67.06	21.59	50118.43	4442998.82
5栋	1603	88.65	67.06	21.59	49768.62	4411988.163
5栋	1605	118.91	89.95	28.96	49228.01	5853702.669
5栋	1501	139.47	105.5	33.97	49968.92	6969165.272
5栋	1502	88.65	67.06	21.59	50038.43	4435906.82
5栋	1503	88.65	67.06	21.59	49688.62	4404896.163
5栋	1505	118.91	89.95	28.96	49148.01	5844189.869
5栋	1401	139.47	105.5	33.97	49888.92	6958007.672
5栋	1402	88.65	67.06	21.59	49958.43	4428814.82
5栋	1403	88.65	67.06	21.59	49608.62	4397804.163
5栋	1405	118.91	89.95	28.96	49068.01	5834677.069
5栋	1301	139.47	105.5	33.97	49808.92	6946850.072
5栋	1302	88.65	67.06	21.59	49878.43	4421722.82
5栋	1303	88.65	67.06	21.59	49528.62	4390712.163
5栋	1305	118.91	89.95	28.96	48988.01	5825164.269
5栋	1201	139.47	105.5	33.97	49728.92	6935692.472
5栋	1202	88.65	67.06	21.59	49798.43	4414630.82
5栋	1203	88.65	67.06	21.59	49448.62	4383620.163
5栋	1205	118.91	89.95	28.96	48908.01	5815651.469
5栋	1101	139.47	105.5	33.97	49528.92	6907798.472
5栋	1102	88.65	67.06	21.59	49598.43	4396900.82
5栋	1103	88.65	67.06	21.59	49248.62	4365890.163
5栋	1105	118.91	89.95	28.96	48708.01	5791869.469
5栋	1001	139.47	105.5	33.97	49448.92	6896640.872
5栋	1002	88.65	67.06	21.59	49518.43	4389808.82
5栋	1003	88.65	67.06	21.59	49168.62	4358798.163
5栋	1005	118.91	89.95	28.96	48628.01	5782356.669
5栋	901	139.47	105.5	33.97	49368.92	6885483.272
5栋	902	88.65	67.06	21.59	49438.43	4382716.82
5栋	903	88.65	67.06	21.59	49088.62	4351706.163
